codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
564.012.170;Hoja Z60 Euro-Design 60 Bco-Bco/Nog Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Nog;Nogal;5.8;0.0;0.0
564.012.169;Hoja Z60 Euro-Design 60 Bco-Nog/Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Nog/Bco;Nogal;5.8;0.0;0.0
564.012.196;Hoja Z60 Euro-Design 60 Mar-Win/Win Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Win/Win;Winchester;5.8;0.0;0.0
564.012.164;Hoja Z60 Euro-Design 60 Bco-Bco/Win Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Win;Winchester;5.8;0.0;0.0
564.012.163;Hoja Z60 Euro-Design 60 Bco-Win/Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Win/Bco;Winchester;5.8;0.0;0.0
564.012.105;Hoja Z60 Euro-Design 60 Mar-Mon/Mon Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Mon/Mon;Monument;5.8;0.0;0.0
564.012.103;Hoja Z60 Euro-Design 60 Bco-Bco/Mon Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Mon;Monument;5.8;0.0;0.0
564.012.104;Hoja Z60 Euro-Design 60 Bco-Mon/Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Mon/Bco;Monument;5.8;0.0;0.0
564.012.125;Hoja Z60 Euro-Design 60 Mar-Negro M./Negro M. Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Negro M./Negro M.;Euro-Design 60 Mar-Negro M./Negro M.;5.8;0.0;0.0
564.012.126;Hoja Z60 Euro-Design 60 Bco-Bco/Negro M. Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Negro M.;Blanco;5.8;0.0;0.0
564.012.128;Hoja Z60 Euro-Design 60 Bco-Negro M./Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Negro M./Bco;Blanco;5.8;0.0;0.0
564.012.138;Hoja Z60 Euro-Design 60 Mar-Turn/Turn Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Turn/Turn;Turner;5.8;0.0;0.0
564.012.139;Hoja Z60 Euro-Design 60 Bco-Bco/Turn Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Turn;Turner;5.8;0.0;0.0
564.012.140;Hoja Z60 Euro-Design 60 Bco-Turn/Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Turn/Bco;Turner;5.8;0.0;0.0
564.012.141;Hoja Z60 Euro-Design 60 Bco-Sheff A./Sheff A. Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Sheff A./Sheff A.;Sheffield;5.8;0.0;0.0
564.012.136;Hoja Z60 Euro-Design 60 Bco-Bco/Sheff A. Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Sheff A.;Sheffield;5.8;0.0;0.0
564.012.137;Hoja Z60 Euro-Design 60 Bco-Sheff A./Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Sheff A./Bco;Sheffield;5.8;0.0;0.0
564.012.146;Hoja Z60 Euro-Design 60 Mar-Hab/Hab Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Hab/Hab;Habano;5.8;0.0;0.0
564.012.152;Hoja Z60 Euro-Design 60 Bco-Bco/Hab Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Hab;Habano;5.8;0.0;0.0
564.012.154;Hoja Z60 Euro-Design 60 Bco-Hab/Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Hab/Bco;Habano;5.8;0.0;0.0
564.012.145;Hoja Z60 Euro-Design 60 Mar-Tit/Tit Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Tit/Tit;Titanium;5.8;0.0;0.0
564.012.151;Hoja Z60 Euro-Design 60 Bco-Bco/Tit Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Tit;Titanium;5.8;0.0;0.0
564.012.149;Hoja Z60 Euro-Design 60 Bco-Tit/Bco Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Tit/Bco;Titanium;5.8;0.0;0.0
564.012.211;Hoja Z60 Euro-Design 60 Mar-Ant M/Ant M Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Ant M/Ant M;Ant M;5.8;0.0;0.0
564.012.212;Hoja Z60 Euro-Design 60 Bco-Bco/Ant M Pres. 5,8m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Ant M;Ant M;5.8;0.0;0.0
564.012.213;Hoja Z60 Euro-Design 60 Bco-Ant M/Bco Pres. 5,8m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Ant M/Bco;Ant M;5.8;0.0;0.0
564.012.214;Hoja Z60 Euro-Design 60 Mar-Black S/Black S Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Black S/Black S;Euro-Design 60 Mar-Black S/Black S;5.8;0.0;0.0
564.012.215;Hoja Z60 Euro-Design 60 Bco-Bco/Black S Pres. 5,8m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Black S;Blanco;5.8;0.0;0.0
564.012.216;Hoja Z60 Euro-Design 60 Bco-Black S/Bco Pres. 5,8m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Black S/Bco;Blanco;5.8;0.0;0.0
564.012.207;Hoja Z60 Euro-Design 60 Mar-Nut/Nut Pres. 5,8 m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Mar-Nut/Nut;Nutmeg;5.8;0.0;0.0
564.012.206;Hoja Z60 Euro-Design 60 Bco-Bco/Nut Pres. 5,8m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Bco/Nut;Nutmeg;5.8;0.0;0.0
564.012.218;Hoja Z60 Euro-Design 60 Bco-Nut/Bco Pres. 5,8m.;Hoja Z60;Euro-Design 60;Euro-Design 60 Bco-Nut/Bco;Nutmeg;5.8;0.0;0.0
