codigo_formateado;Descripcion;tipo;tipo_material;acabado;color_real;longitud;Stock;Pedidos
564012.173;Hoja Z60 Euro-Design 60 Bco-Rob/Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.177;Hoja Z60 Euro-Design 60 Mar-Ant L/Ant L Pres. 5,8 m.;Hoja;Euro-Design 60;Ant L;Ant L;5.8;0.0;0.0
564012.180;Hoja Z60 Euro-Design 60 Bco-Bco/Ant L Pres. 5,8 m.;Hoja;Euro-Design 60;Ant L;Ant L;5.8;0.0;0.0
564012.179;Hoja Z60 Euro-Design 60 Bco-Ant L/Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.165;Hoja Z60 Euro-Design 60 Mar-B.Brow/B.Brow Pres. 5,8 m.;Hoja;Euro-Design 60;BBrow;BBrow;5.8;0.0;0.0
564012.167;Hoja Z60 Euro-Design 60 Bco-Bco/B.Brow Pres. 5,8 m.;Hoja;Euro-Design 60;BBrow;BBrow;5.8;0.0;0.0
564012.166;Hoja Z60 Euro-Design 60 Bco-B.Brow/Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.168;Hoja Z60 Euro-Design 60 Mar-Nog/Nog Pres. 5,8 m.;Hoja;Euro-Design 60;Nog;Nogal;5.8;0.0;0.0
564012.170;Hoja Z60 Euro-Design 60 Bco-Bco/Nog Pres. 5,8 m.;Hoja;Euro-Design 60;Nog;Nogal;5.8;0.0;0.0
564012.169;Hoja Z60 Euro-Design 60 Bco-Nog/Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.196;Hoja Z60 Euro-Design 60 Mar-Win/Win Pres. 5,8 m.;Hoja;Euro-Design 60;Win;Winchester;5.8;0.0;0.0
564012.164;Hoja Z60 Euro-Design 60 Bco-Bco/Win Pres. 5,8 m.;Hoja;Euro-Design 60;Win;Winchester;5.8;0.0;0.0
564012.163;Hoja Z60 Euro-Design 60 Bco-Win/Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.105;Hoja Z60 Euro-Design 60 Mar-Mon/Mon Pres. 5,8 m.;Hoja;Euro-Design 60;Mon;Monument;5.8;0.0;0.0
564012.103;Hoja Z60 Euro-Design 60 Bco-Bco/Mon Pres. 5,8 m.;Hoja;Euro-Design 60;Mon;Monument;5.8;0.0;0.0
564012.104;Hoja Z60 Euro-Design 60 Bco-Mon/Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.125;Hoja Z60 Euro-Design 60 Mar-Negro M./Negro M. Pres. 5,8 m.;Hoja;Euro-Design 60;Negro M;Negro M;5.8;0.0;0.0
564012.126;Hoja Z60 Euro-Design 60 Bco-Bco/Negro M. Pres. 5,8 m.;Hoja;Euro-Design 60;Negro M;Negro M;5.8;0.0;0.0
564012.128;Hoja Z60 Euro-Design 60 Bco-Negro M./Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.138;Hoja Z60 Euro-Design 60 Mar-Turn/Turn Pres. 5,8 m.;Hoja;Euro-Design 60;Turn;Turner;5.8;0.0;0.0
564012.139;Hoja Z60 Euro-Design 60 Bco-Bco/Turn Pres. 5,8 m.;Hoja;Euro-Design 60;Turn;Turner;5.8;0.0;0.0
564012.140;Hoja Z60 Euro-Design 60 Bco-Turn/Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.141;Hoja Z60 Euro-Design 60 Bco-Sheff A./Sheff A. Pres. 5,8 m.;Hoja;Euro-Design 60;Sheff A;Sheffield;5.8;0.0;0.0
564012.136;Hoja Z60 Euro-Design 60 Bco-Bco/Sheff A. Pres. 5,8 m.;Hoja;Euro-Design 60;Sheff A;Sheffield;5.8;0.0;0.0
564012.137;Hoja Z60 Euro-Design 60 Bco-Sheff A./Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.146;Hoja Z60 Euro-Design 60 Mar-Hab/Hab Pres. 5,8 m.;Hoja;Euro-Design 60;Hab;Habano;5.8;0.0;0.0
564012.152;Hoja Z60 Euro-Design 60 Bco-Bco/Hab Pres. 5,8 m.;Hoja;Euro-Design 60;Hab;Habano;5.8;0.0;0.0
564012.154;Hoja Z60 Euro-Design 60 Bco-Hab/Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.145;Hoja Z60 Euro-Design 60 Mar-Tit/Tit Pres. 5,8 m.;Hoja;Euro-Design 60;Tit;Titanium;5.8;0.0;0.0
564012.151;Hoja Z60 Euro-Design 60 Bco-Bco/Tit Pres. 5,8 m.;Hoja;Euro-Design 60;Tit;Titanium;5.8;0.0;0.0
564012.149;Hoja Z60 Euro-Design 60 Bco-Tit/Bco Pres. 5,8 m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
564012.211;Hoja Z60 Euro-Design 60 Mar-Ant M/Ant M Pres. 5,8 m.;Hoja;Euro-Design 60;Ant M;Ant M;5.8;0.0;0.0
564012.212;Hoja Z60 Euro-Design 60 Bco-Bco/Ant M Pres. 5,8m.;Hoja;Euro-Design 60;Ant M;Ant M;5.8;0.0;0.0
564012.213;Hoja Z60 Euro-Design 60 Bco-Ant M/Bco Pres. 5,8m.;Hoja;Euro-Design 60;Bco;Blanco;5.8;0.0;0.0
