// Actualizar la lógica de extracción para que el campo 'línea' solo contenga uno de los siguientes valores exactos:
// 'Euro Design 60', 'Euro Design Slide', 'High Design Slide', 'Synego'.
// Si no se encuentra ninguna coincidencia exacta, dejar el campo vacío para revisión manual.
// Lógica mejorada: Buscar la línea real (de las permitidas) en la descripción, y luego extraer el color como el texto entre la línea y la palabra 'Pres'. Si no hay línea real, dejar el campo vacío.
codigo;descripcion;tipo;linea;acabado;color_real;longitud;stock;pedidos
500.968.026;Hoja 101 HST SYNEGO Bco-Bco/Turn Pres. 6 m.;Hoja;;HST SYNEGO Bco-Bco/Turn;6
500.968.039;Hoja 101 HST SYNEGO Bco-Turn/Bco Pres. 6 m.;Hoja;;HST SYNEGO Bco-Turn/Bco;6
500.968.011;Hoja 101 HST SYNEGO Bco-Scheff A./Scheff A. Pres. 6 m.;Hoja;;HST SYNEGO Bco-Scheff A./Scheff A.;6
500.968.025;Hoja 101 HST SYNEGO Bco-Bco/Scheff A. Pres. 6 m.;Hoja;;HST SYNEGO Bco-Bco/Scheff A.;6
500.968.038;Hoja 101 HST SYNEGO Bco-Scheff A./Bco Pres. 6 m.;Hoja;;HST SYNEGO Bco-Scheff A./Bco;6
500.968.012;Hoja 101 HST SYNEGO Bco-Hab/Hab Pres. 6 m.;Hoja;;HST SYNEGO Bco-Hab/Hab;6
500.968.027;Hoja 101 HST SYNEGO Bco-Bco/Hab Pres. 6 m.;Hoja;;HST SYNEGO Bco-Bco/Hab;6
500.968.041;Hoja 101 HST SYNEGO Bco-Hab/Bco Pres. 6 m.;Hoja;;HST SYNEGO Bco-Hab/Bco;6
500.968.013;Hoja 101 HST SYNEGO Bco-Tit/Tit Pres. 6 m.;Hoja;;HST SYNEGO Bco-Tit/Tit;6
500.968.028;Hoja 101 HST SYNEGO Bco-Bco/Tit Pres. 6 m.;Hoja;;HST SYNEGO Bco-Bco/Tit;6
500.968.042;Hoja 101 HST SYNEGO Bco-Tit/Bco Pres. 6 m.;Hoja;;HST SYNEGO Bco-Tit/Bco;6
500.968.065;Hoja 101 HST SYNEGO Bco-Ant M/Ant M. Pres.6 m.;Hoja;;HST SYNEGO Bco-Ant M/Ant M.;.6
500.968.066;Hoja 101 HST SYNEGO Bco-Bco/Ant M Pres.6 m.;Hoja;;HST SYNEGO Bco-Bco/Ant M;.6
500.968.067;Hoja 101 HST SYNEGO Bco-Ant M/Bco Pres.6 m.;Hoja;;HST SYNEGO Bco-Ant M/Bco;.6
500.968.068;Hoja 101 HST SYNEGO Bco-Black S/Black S. Pres.6 m.;Hoja;;HST SYNEGO Bco-Black S/Black S.;.6
500.968.069;Hoja 101 HST SYNEGO Bco-Bco/Black S Pres.6 m.;Hoja;;HST SYNEGO Bco-Bco/Black S;.6
500.968.070;Hoja 101 HST SYNEGO Bco-Black S/Bco Pres.6 m.;Hoja;;HST SYNEGO Bco-Black S/Bco;.6
500.968.059;Hoja 101 HST SYNEGO Bco-Nut/Nut. Pres.6 m.;Hoja;;HST SYNEGO Bco-Nut/Nut.;.6
500.968.060;Hoja 101 HST SYNEGO Bco-Bco/Nut Pres.6 m.;Hoja;;HST SYNEGO Bco-Bco/Nut;.6
500.968.061;Hoja 101 HST SYNEGO Bco-Nut/Bco Pres.6 m.;Hoja;;HST SYNEGO Bco-Nut/Bco;.6
500.968.062;Hoja 101 HST SYNEGO Bco-Qrz/Qrz. Pres.6 m.;Hoja;;HST SYNEGO Bco-Qrz/Qrz.;.6
500.968.063;Hoja 101 HST SYNEGO Bco-Bco/Qrz Pres.6 m.;Hoja;;HST SYNEGO Bco-Bco/Qrz;.6
500.968.064;Hoja 101 HST SYNEGO Bco-Qrz/Bco Pres.6 m.;Hoja;;HST SYNEGO Bco-Qrz/Bco;.6
536.500.474;Perfil tapajuntas HST SYNEGO Blanco Pres. 5 m.;Perfil tapajuntas HST SYNEGO Blanco Pres.;;;5
500.969.017;Perfil tapajuntas HST SYNEGO Bco-Rob Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-Rob Pres.;;;5
500.969.016;Perfil tapajuntas HST SYNEGO Bco-Nog Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-Nog Pres.;;;5
500.969.019;Perfil tapajuntas HST SYNEGO Bco-Ant L. Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-Ant L. Pres.;;;5
500.969.018;Perfil tapajuntas HST SYNEGO Bco-B.Brow Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-B.Brow Pres.;;;5
500.969.015;Perfil tapajuntas HST SYNEGO Bco-Win Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-Win Pres.;;;5
500.969.009;Perfil tapajuntas HST SYNEGO Bco-Mon Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-Mon Pres.;;;5
500.969.010;Perfil tapajuntas HST SYNEGO Bco-Negro M. Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-Negro M. Pres.;;;5
500.969.014;Perfil tapajuntas HST SYNEGO Bco-Turn Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-Turn Pres.;;;5
500.969.011;Perfil tapajuntas HST SYNEGO Bco-Scheff A. Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-Scheff A. Pres.;;;5
500.969.012;Perfil tapajuntas HST SYNEGO Bco-Hab Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-Hab Pres.;;;5
500.969.013;Perfil tapajuntas HST SYNEGO Bco-Tit Pres. 5 m.;Perfil tapajuntas HST SYNEGO Bco-Tit Pres.;;;5
500.969.023;Perfil Tapajuntas HST SYNEGO Bco-Ant M Pres.5 m.;Perfil Tapajuntas HST SYNEGO Bco-Ant M Pres.;;;.5
500.969.024;Perfil Tapajuntas HST SYNEGO Bco-Black S Pres.5 m.;Perfil Tapajuntas HST SYNEGO Bco-Black S Pres.;;;.5
500.969.021;Perfil Tapajuntas HST SYNEGO Bco-Nut Pres.5 m.;Perfil Tapajuntas HST SYNEGO Bco-Nut Pres.;;;.5
500.969.022;Perfil Tapajuntas HST SYNEGO Bco-Qrz Pres.5 m.;Perfil Tapajuntas HST SYNEGO Bco-Qrz Pres.;;;.5
536.530.475;Perfil de tope HST SYNEGO Blanco Pres. 6 m.;Perfil de tope HST SYNEGO Blanco Pres.;;;6
500.973.049;Perfil de tope HST SYNEGO Bco-Rob/Rob Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Rob/Rob Pres.;;;6
500.973.050;Perfil de tope HST SYNEGO Bco-Bco/Rob Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Rob Pres.;;;6
500.973.051;Perfil de tope HST SYNEGO Bco-Rob/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Rob/Bco Pres.;;;6
500.973.046;Perfil de tope HST SYNEGO Bco-Nog/Nog Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Nog/Nog Pres.;;;6
500.973.047;Perfil de tope HST SYNEGO Bco-Bco/Nog Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Nog Pres.;;;6
500.973.048;Perfil de tope HST SYNEGO Bco-Nog/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Nog/Bco Pres.;;;6
500.973.055;Perfil de tope HST SYNEGO Bco-Ant L/Ant L Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Ant L/Ant L Pres.;;;6
500.973.056;Perfil de tope HST SYNEGO Bco-Bco/Ant L Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Ant L Pres.;;;6
500.973.057;Perfil de tope HST SYNEGO Bco-Ant L/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Ant L/Bco Pres.;;;6
500.973.052;Perfil de tope HST SYNEGO Bco-B.Brow/B.Brow Pres. 6 m.;Perfil de tope HST SYNEGO Bco-B.Brow/B.Brow Pres.;;;6
500.973.053;Perfil de tope HST SYNEGO Bco-Bco/B.Brow Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/B.Brow Pres.;;;6
500.973.054;Perfil de tope HST SYNEGO Bco-B.Brow/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-B.Brow/Bco Pres.;;;6
500.973.043;Perfil de tope HST SYNEGO Bco-Win/Win Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Win/Win Pres.;;;6
500.973.044;Perfil de tope HST SYNEGO Bco-Bco/Win Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Win Pres.;;;6
500.973.045;Perfil de tope HST SYNEGO Bco-Win/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Win/Bco Pres.;;;6
500.973.009;Perfil de tope HST SYNEGO Bco-Mon/Mon Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Mon/Mon Pres.;;;6
500.973.024;Perfil de tope HST SYNEGO Bco-Bco/Mon Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Mon Pres.;;;6
500.973.040;Perfil de tope HST SYNEGO Bco-Mon/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Mon/Bco Pres.;;;6
500.973.010;Perfil de tope HST SYNEGO Bco-Negro M./Negro M. Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Negro M./Negro M. Pres.;;;6
500.973.023;Perfil de tope HST SYNEGO Bco-Bco/Negro M. Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Negro M. Pres.;;;6
500.973.037;Perfil de tope HST SYNEGO Bco-Negro M./Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Negro M./Bco Pres.;;;6
500.973.014;Perfil de tope HST SYNEGO Bco-Turn/Turn Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Turn/Turn Pres.;;;6
500.973.026;Perfil de tope HST SYNEGO Bco-Bco/Turn Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Turn Pres.;;;6
500.973.039;Perfil de tope HST SYNEGO Bco-Turn/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Turn/Bco Pres.;;;6
500.973.011;Perfil de tope HST SYNEGO Bco-Scheff A./Scheff A. Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Scheff A./Scheff A. Pres.;;;6
500.973.025;Perfil de tope HST SYNEGO Bco-Bco/Scheff A. Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Scheff A. Pres.;;;6
500.973.038;Perfil de tope HST SYNEGO Bco-Scheff A./Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Scheff A./Bco Pres.;;;6
500.973.012;Perfil de tope HST SYNEGO Bco-Hab/Hab Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Hab/Hab Pres.;;;6
500.973.028;Perfil de tope HST SYNEGO Bco-Bco/Hab Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Hab Pres.;;;6
500.973.041;Perfil de tope HST SYNEGO Bco-Hab/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Hab/Bco Pres.;;;6
500.973.013;Perfil de tope HST SYNEGO Bco-Tit/Tit Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Tit/Tit Pres.;;;6
500.973.027;Perfil de tope HST SYNEGO Bco-Bco/Tit Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Tit Pres.;;;6
500.973.042;Perfil de tope HST SYNEGO Bco-Tit/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Tit/Bco Pres.;;;6
500.973.059;Perfil de tope HST SYNEGO Bco-Nut/Nut Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Nut/Nut Pres.;;;6
500.973.060;Perfil de tope HST SYNEGO Bco-Bco/Nut Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Nut Pres.;;;6
500.973.061;Perfil de tope HST SYNEGO Bco-Nut/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Nut/Bco Pres.;;;6
500.973.062;Perfil de tope HST SYNEGO Bco-Qrz/Qrz Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Qrz/Qrz Pres.;;;6
500.973.063;Perfil de tope HST SYNEGO Bco-Bco/Qrz Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Qrz Pres.;;;6
500.973.064;Perfil de tope HST SYNEGO Bco-Qrz/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Qrz/Bco Pres.;;;6
500.973.065;Perfil de tope HST SYNEGO Bco-Ant M/Ant M Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Ant M/Ant M Pres.;;;6
500.973.066;Perfil de tope HST SYNEGO Bco-Bco/Ant M Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Ant M Pres.;;;6
500.973.067;Perfil de tope HST SYNEGO Bco-Ant M/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Ant M/Bco Pres.;;;6
500.973.068;Perfil de tope HST SYNEGO Bco-Black S/Black S Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Black S/Black S Pres.;;;6
500.973.069;Perfil de tope HST SYNEGO Bco-Bco/Black S Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Bco/Black S Pres.;;;6
500.973.070;Perfil de tope HST SYNEGO Bco-Black S/Bco Pres. 6 m.;Perfil de tope HST SYNEGO Bco-Black S/Bco Pres.;;;6
536.520.474;Liston de marco HST SYNEGO Blanco Pres. 6 m.;Liston de marco HST SYNEGO Blanco Pres.;;;6
500.974.049;Liston de marco HST SYNEGO Bco-Rob/Rob Pres. 6 m.;Liston de marco HST SYNEGO Bco-Rob/Rob Pres.;;;6
500.974.050;Liston de marco HST SYNEGO Bco-Bco/Rob Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/Rob Pres.;;;6
500.974.051;Liston de marco HST SYNEGO Bco-Rob/Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-Rob/Bco Pres.;;;6
500.974.046;Liston de marco HST SYNEGO Bco-Nog/Nog Pres. 6 m.;Liston de marco HST SYNEGO Bco-Nog/Nog Pres.;;;6
500.974.047;Liston de marco HST SYNEGO Bco-Bco/Nog Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/Nog Pres.;;;6
500.974.048;Liston de marco HST SYNEGO Bco-Nog/Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-Nog/Bco Pres.;;;6
500.974.055;Liston de marco HST SYNEGO Bco-Ant L/Ant L Pres. 6 m.;Liston de marco HST SYNEGO Bco-Ant L/Ant L Pres.;;;6
500.974.056;Liston de marco HST SYNEGO Bco-Bco/Ant L Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/Ant L Pres.;;;6
500.974.057;Liston de marco HST SYNEGO Bco-Ant L/Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-Ant L/Bco Pres.;;;6
500.974.052;Liston de marco HST SYNEGO Bco-B.Brow/B.Brow Pres. 6 m.;Liston de marco HST SYNEGO Bco-B.Brow/B.Brow Pres.;;;6
500.974.053;Liston de marco HST SYNEGO Bco-Bco/B.Brow Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/B.Brow Pres.;;;6
500.974.054;Liston de marco HST SYNEGO Bco-B.Brow/Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-B.Brow/Bco Pres.;;;6
500.974.043;Liston de marco HST SYNEGO Bco-Win/Win Pres. 6 m.;Liston de marco HST SYNEGO Bco-Win/Win Pres.;;;6
500.974.044;Liston de marco HST SYNEGO Bco-Bco/Win Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/Win Pres.;;;6
500.974.045;Liston de marco HST SYNEGO Bco-Win/Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-Win/Bco Pres.;;;6
500.974.009;Liston de marco HST SYNEGO Bco-Mon/Mon Pres. 6 m.;Liston de marco HST SYNEGO Bco-Mon/Mon Pres.;;;6
500.974.024;Liston de marco HST SYNEGO Bco-Bco/Mon Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/Mon Pres.;;;6
500.974.040;Liston de marco HST SYNEGO Bco-Mon/Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-Mon/Bco Pres.;;;6
500.974.010;Liston de marco HST SYNEGO Bco-Negro M./Negro M. Pres. 6 m.;Liston de marco HST SYNEGO Bco-Negro M./Negro M. Pres.;;;6
500.974.023;Liston de marco HST SYNEGO Bco-Bco/Negro M. Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/Negro M. Pres.;;;6
500.974.037;Liston de marco HST SYNEGO Bco-Negro M./Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-Negro M./Bco Pres.;;;6
500.974.014;Liston de marco HST SYNEGO Bco-Turn/Turn Pres. 6 m.;Liston de marco HST SYNEGO Bco-Turn/Turn Pres.;;;6
500.974.026;Liston de marco HST SYNEGO Bco-Bco/Turn Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/Turn Pres.;;;6
500.974.039;Liston de marco HST SYNEGO Bco-Turn/Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-Turn/Bco Pres.;;;6
500.974.011;Liston de marco HST SYNEGO Bco-Scheff A./Scheff A. Pres. 6 m.;Liston de marco HST SYNEGO Bco-Scheff A./Scheff A. Pres.;;;6
500.974.025;Liston de marco HST SYNEGO Bco-Bco/Scheff A. Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/Scheff A. Pres.;;;6
500.974.038;Liston de marco HST SYNEGO Bco-Scheff A./Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-Scheff A./Bco Pres.;;;6
500.974.012;Liston de marco HST SYNEGO Bco-Hab/Hab Pres. 6 m.;Liston de marco HST SYNEGO Bco-Hab/Hab Pres.;;;6
500.974.028;Liston de marco HST SYNEGO Bco-Bco/Hab Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/Hab Pres.;;;6
500.974.041;Liston de marco HST SYNEGO Bco-Hab/Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-Hab/Bco Pres.;;;6
500.974.013;Liston de marco HST SYNEGO Bco-Tit/Tit Pres. 6 m.;Liston de marco HST SYNEGO Bco-Tit/Tit Pres.;;;6
500.974.027;Liston de marco HST SYNEGO Bco-Bco/Tit Pres. 6 m.;Liston de marco HST SYNEGO Bco-Bco/Tit Pres.;;;6
500.974.042;Liston de marco HST SYNEGO Bco-Tit/Bco Pres. 6 m.;Liston de marco HST SYNEGO Bco-Tit/Bco Pres.;;;6
500.974.065;Liston de marco HST SYNEGO Bco-Ant M/Ant M Pres.6 m.;Liston de marco HST SYNEGO Bco-Ant M/Ant M Pres.;;;.6
500.974.066;Liston de marco HST SYNEGO Bco-Bco/Ant M Pres.6 m.;Liston de marco HST SYNEGO Bco-Bco/Ant M Pres.;;;.6
500.974.067;Liston de marco HST SYNEGO Bco-Ant M/Bco Pres.6 m.;Liston de marco HST SYNEGO Bco-Ant M/Bco Pres.;;;.6
500.974.068;Liston de marco HST SYNEGO Bco-Black S/Black S Pres.6 m.;Liston de marco HST SYNEGO Bco-Black S/Black S Pres.;;;.6
500.974.069;Liston de marco HST SYNEGO Bco-Bco/Black S Pres.6 m.;Liston de marco HST SYNEGO Bco-Bco/Black S Pres.;;;.6
500.974.070;Liston de marco HST SYNEGO Bco-Black S/Bco Pres.6 m.;Liston de marco HST SYNEGO Bco-Black S/Bco Pres.;;;.6
500.974.059;Liston de marco HST SYNEGO Bco-Nut/Nut Pres.6 m.;Liston de marco HST SYNEGO Bco-Nut/Nut Pres.;;;.6
500.974.060;Liston de marco HST SYNEGO Bco-Bco/Nut Pres.6 m.;Liston de marco HST SYNEGO Bco-Bco/Nut Pres.;;;.6
500.974.061;Liston de marco HST SYNEGO Bco-Nut/Bco Pres.6 m.;Liston de marco HST SYNEGO Bco-Nut/Bco Pres.;;;.6
500.974.062;Liston de marco HST SYNEGO Bco-Qrz/Qrz Pres.6 m.;Liston de marco HST SYNEGO Bco-Qrz/Qrz Pres.;;;.6
500.974.063;Liston de marco HST SYNEGO Bco-Bco/Qrz Pres.6 m.;Liston de marco HST SYNEGO Bco-Bco/Qrz Pres.;;;.6
500.974.064;Liston de marco HST SYNEGO Bco-Qrz/Bco Pres.6 m.;Liston de marco HST SYNEGO Bco-Qrz/Bco Pres.;;;.6
536.550.475;Perfil de cruce HST SYNEGO Blanco Pres. 5 m.;Perfil de cruce HST SYNEGO Blanco Pres.;;;5
500.975.049;Perfil de cruce HST SYNEGO Bco-Rob/Rob Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Rob/Rob Pres.;;;5
500.975.050;Perfil de cruce HST SYNEGO Bco-Bco/Rob Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/Rob Pres.;;;5
500.975.052;Perfil de cruce HST SYNEGO Bco-Rob/Bco Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Rob/Bco Pres.;;;5
500.975.046;Perfil de cruce HST SYNEGO Bco-Nog/Nog Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Nog/Nog Pres.;;;5
500.975.047;Perfil de cruce HST SYNEGO Bco-Bco/Nog Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/Nog Pres.;;;5
500.975.048;Perfil de cruce HST SYNEGO Bco-Nog/Bco Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Nog/Bco Pres.;;;5
500.975.055;Perfil de cruce HST SYNEGO Bco-Ant L/Ant L Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Ant L/Ant L Pres.;;;5
500.975.056;Perfil de cruce HST SYNEGO Bco-Bco/Ant L Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/Ant L Pres.;;;5
500.975.057;Perfil de cruce HST SYNEGO Bco-Ant L/Bco Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Ant L/Bco Pres.;;;5
500.975.051;Perfil de cruce HST SYNEGO Bco-B.Brow/B.Brow Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-B.Brow/B.Brow Pres.;;;5
500.975.053;Perfil de cruce HST SYNEGO Bco-Bco/B.Brow Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/B.Brow Pres.;;;5
500.975.054;Perfil de cruce HST SYNEGO Bco-B.Brow/Bco Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-B.Brow/Bco Pres.;;;5
500.975.043;Perfil de cruce HST SYNEGO Bco-Win/Win Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Win/Win Pres.;;;5
500.975.044;Perfil de cruce HST SYNEGO Bco-Bco/Win Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/Win Pres.;;;5
500.975.045;Perfil de cruce HST SYNEGO Bco-Win/Bco Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Win/Bco Pres.;;;5
500.975.009;Perfil de cruce HST SYNEGO Bco-Mon/Mon Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Mon/Mon Pres.;;;5
500.975.023;Perfil de cruce HST SYNEGO Bco-Bco/Mon Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/Mon Pres.;;;5
500.975.039;Perfil de cruce HST SYNEGO Bco-Mon/Bco Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Mon/Bco Pres.;;;5
500.975.010;Perfil de cruce HST SYNEGO Bco-Negro M./Negro M. Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Negro M./Negro M. Pres.;;;5
500.975.022;Perfil de cruce HST SYNEGO Bco-Bco/Negro M. Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/Negro M. Pres.;;;5
500.975.036;Perfil de cruce HST SYNEGO Bco-Negro M./Bco Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Negro M./Bco Pres.;;;5
500.975.013;Perfil de cruce HST SYNEGO Bco-Turn/Turn Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Turn/Turn Pres.;;;5
500.975.025;Perfil de cruce HST SYNEGO Bco-Bco/Turn Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/Turn Pres.;;;5
500.975.038;Perfil de cruce HST SYNEGO Bco-Turn/Bco Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Turn/Bco Pres.;;;5
500.975.008;Perfil de cruce HST SYNEGO Bco-Scheff A./Scheff A. Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Scheff A./Scheff A. Pres.;;;5
500.975.024;Perfil de cruce HST SYNEGO Bco-Bco/Scheff A. Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/Scheff A. Pres.;;;5
500.975.037;Perfil de cruce HST SYNEGO Bco-Scheff A./Bco Pres. 6 m.;Perfil de cruce HST SYNEGO Bco-Scheff A./Bco Pres.;;;6
500.975.011;Perfil de cruce HST SYNEGO Bco-Hab/Hab Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Hab/Hab Pres.;;;5
500.975.027;Perfil de cruce HST SYNEGO Bco-Bco/Hab Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/Hab Pres.;;;5
500.975.040;Perfil de cruce HST SYNEGO Bco-Hab/Bco Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Hab/Bco Pres.;;;5
500.975.012;Perfil de cruce HST SYNEGO Bco-Tit\Tit Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Tit\Tit Pres.;;;5
500.975.026;Perfil de cruce HST SYNEGO Bco-Bco/Tit Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Bco/Tit Pres.;;;5
500.975.041;Perfil de cruce HST SYNEGO Bco-Tit/Bco Pres. 5 m.;Perfil de cruce HST SYNEGO Bco-Tit/Bco Pres.;;;5
500.975.065;Perfil de cruce HST SYNEGO Bco-Ant M/Ant M Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Ant M/Ant M Pres.;;;.5
500.975.066;Perfil de cruce HST SYNEGO Bco-Bco/Ant M Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Bco/Ant M Pres.;;;.5
500.975.067;Perfil de cruce HST SYNEGO Bco-Ant M/Bco Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Ant M/Bco Pres.;;;.5
500.975.068;Perfil de cruce HST SYNEGO Bco-Black S/Black S Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Black S/Black S Pres.;;;.5
500.975.069;Perfil de cruce HST SYNEGO Bco-Bco/Black S Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Bco/Black S Pres.;;;.5
500.975.070;Perfil de cruce HST SYNEGO Bco-Black S/Bco Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Black S/Bco Pres.;;;.5
500.975.059;Perfil de cruce HST SYNEGO Bco-Nut/Nut Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Nut/Nut Pres.;;;.5
500.975.060;Perfil de cruce HST SYNEGO Bco-Bco/Nut Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Bco/Nut Pres.;;;.5
500.975.061;Perfil de cruce HST SYNEGO Bco-Nut/Bco Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Nut/Bco Pres.;;;.5
500.975.062;Perfil de cruce HST SYNEGO Bco-Qrz/Qrz Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Qrz/Qrz Pres.;;;.5
500.975.063;Perfil de cruce HST SYNEGO Bco-Bco/Qrz Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Bco/Qrz Pres.;;;.5
500.975.064;Perfil de cruce HST SYNEGO Bco-Qrz/Bco Pres.5  m.;Perfil de cruce HST SYNEGO Bco-Qrz/Bco Pres.;;;.5
398.307.001;Liston de estanqueidad Aluminio HST SYNEGO Pres. 6 m.;Liston de estanqueidad Aluminio HST SYNEGO Pres.;;;6
